_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
1,Built,09 189714 STE 20 SA,2009-11-19,Site Plan approval for Phase 1 of CN Tower lands re development - for new entertainment complex containing 3 storey Ripleys Aquarium Phase 1 consists of easterly portion of lands and construction of southerly portion of 2 storey aquarium. Future phase 2,292 BREMNER BLVD,10,0,9846,9846,0,
2,Built,18 267198 ESC 24 SA,2018-12-11,"Condo Building B known as 30 Meadowglen Place.  File created as sub-folder to 13 199513 ESC 38 SA. Revised site plan application based on OMB Case No. PL131280 proposes the redevelopment of the site with 32 stacked townhouses, a 16 storey, 146 residentia",1-2 MEADOWGLEN PL,24,25762,483,26245,327,http://app.toronto.ca/AIC/index.do?folderRsn=pKf6n0PLhyateCPdOt0NXA%3D%3D
3,Active,17 266727 STE 21 OZ,2017-11-24,"Zoning By-Law Amendment to facilitate the conversion and expansion of existing , vacant building for the purpose of a single family dwelling unit by: severing and registering an easement over 598 Rushton Road to provide outdoor amenity space and servicin",596 R RUSHTON RD,12,221,0,221,1,http://app.toronto.ca/AIC/index.do?folderRsn=t8azL5CdVyfpI9wSo5ZMpA%3D%3D
4,Under Review,19 118245 STE 11 OZ,2019-02-22,"Zoning By-Law Amendment application to permit a 9-storey institutional building, containing 14,770 square metres of non-residential gross floor area. The proposal includes heritage conservation on the site.",78 QUEEN'S PARK,11,0,14768.77,14768.77,0,http://app.toronto.ca/AIC/index.do?folderRsn=3FdbGkCG4wk5NEqq31pKZQ%3D%3D
5,Built,13 132867 STE 20 SA,2013-03-14,"Proposed Site Plan application for a renovation and addition to the existing Flavelle House and Bora Laskin Library wing.  The proposed demolition of the current rotunda connection, partial demolition of the Bora Laskin Library wing and construction of a",78 QUEEN'S PARK,11,0,3275.3,3275.3,0,
6,Under Review,20 210389 NNY 17 SA,2020-10-23,"Site Plan application to permit the proposal for the South development consisting of two towers with proposed heights of 29 and 30 storeys connected by a single podiumn building for a total gross floor area of 65,670 square metres, 50,350 residential gro",2901 BAYVIEW AVE,17,50349.25,15316.22,65665.47,682,http://app.toronto.ca/AIC/index.do?folderRsn=rzOjXOHvMBZWOr61WvpILg%3D%3D
7,Built,11 250612 ESC 37 SA,2011-08-03,Site plan application for two 19-storey and one 17-storey condominium towers.  A total of 593 residential units are proposed (North Building: 227 units; West Building: 206 units; South Building: 160 units).  A total of 400 m2 of ground floor retail space,2150 LAWRENCE AVE E,21,47687.03,631.6,48318.63,586,
8,Active,14 248860 NNY 10 OZ,2014-11-06,"This rezoning application proposes a 10-storey, residential building, which has 2-storey townhouses at grade, and 4-storey, stacked, back-to-back townhouses along Greenwin Village Road.  The proposal also includes a 1-storey, 550 square metre retail buil",755 STEELES AVE W,18,11883,550,12433,152,http://app.toronto.ca/AIC/index.do?folderRsn=LtkyZGE%2B6UDj%2FazopjPERg%3D%3D
9,Built,10 309448 STE 20 OZ,2010-12-06,"Proposal to construct a 3 story rear addition to the existing building for a mental health and wellness centre, geared to seniors.",407 HURON ST,11,0,1018.4,1018.4,0,
10,Built,15 112180 NNY 24 OZ,2015-02-04,"Application to permit proposed 14-storey mixed-use building consisting of 542 square metre retail floor area at grade and 13,238 residential gross floor area.",3237 BAYVIEW AVE,17,12375,0,12375,151,
11,Built,15 267377 NNY 16 OZ,2015-12-21,Maintain the conversion of the existing one-storey mixed use building converted from residential to office/residential uses and to construct a two-storey addition atop the existing building in order to accommodate either a two-storey residential unit on,2100 AVENUE RD,8,0,171.62,171.62,0,
12,Built,04 150643 NNY 16 OZ,2004-06-25,"Propose a 4 storey podium along Yonge St. with a 17-19 storey apartment building with a density of 7.51FSI.  Revised proposal received on Nov. 24/05 to propose a 16 storey, 215 unit apartment building with FSI of 6.42.  Revised proposal on July 25, 2006",3018 YONGE ST,8,16775,200,16975,188,
13,Under Review,20 215681 ESC 22 OZ,2020-11-05,CLOSED - Refer to the new application:  24 106385 ESC 22 OZ    Development of a 4-storey residential building with 35 units and 41 vehicle parking spaces.,3175 SHEPPARD AVE E,22,4603.73,0,4603.73,35,http://app.toronto.ca/AIC/index.do?folderRsn=bGZWOvD3%2FN%2F5vPoVWQEVOQ%3D%3D
14,Built,14 259035 WET 11 SA,2014-12-02,"Proposed conversion of an existing industrial warehouse building to a fitness centre (L.A. Fitness) and grocery store (Organic Garage).  Vestibule additions will be added to the building along the north, east, and west facades.",43 JUNCTION RD,5,0,6426,6426,0,
15,Built,16 226496 WET 02 SA,2016-09-21,"The application proposes additions to the existing 3-storey self-storage building on the subject property. The additions comprise a 3-storey building and a 1-storey building having a gross floor area of 2,950 m2 and 250 m2, respectively. February 2, 2017",55 KELFIELD ST,1,0,4740,4740,0,http://app.toronto.ca/AIC/index.do?folderRsn=35xZMZ0hMRFKWEEUpXzadQ%3D%3D
16,Built,13 196243 ESC 44 OZ,2013-06-28,To permit a six (6) lot residential subdivision conisting of three (3) pairs of semi-detached dwellings on a 23 m public street.,67 KIRKDENE DR,25,1055.69,0,1055.69,6,
17,Under Review,19 186975 STE 19 OZ,2019-07-11,"Zoning By- Law Amendment Application to permit to permit a 10-storey mixed-use building, containing 60 rental dwelling units and 127 square metres of non-residential gross floor area.     This application is being reviewed and considered concurrently wit",1821 DANFORTH AVE,19,1877,74,1951,30,http://app.toronto.ca/AIC/index.do?folderRsn=0fCYLDauDIxKY8D3MGCxOA%3D%3D
18,Built,11 329885 STE 20 OZ,2011-12-22,Rezoning application to construct a mixed use development at 120 and 130 Harbour Street and 10 York Street.  The application is for a residential tower with a 4 storey podium and a proposed tower of approximately 65 storeys or 224 metres including mechan,130 HARBOUR ST,10,56462,218,56680,694,
